place-IV,lng-IV,lat-IV,lng-OSM,lat-OSM,uuid,uri,place,county,"distance (km)","longitude negated"
Addington,0.01,51.41,-0.0316347,51.3586365,IV1680-003-18,http://www.openstreetmap.org/node/84903406,Addington,Surrey,0.79,,100
Addleston,-0.38,51.41,-0.4895675,51.3710908,IV1680-003-23,http://www.openstreetmap.org/node/1699989038,Addlestone,Surrey,1.43,,94.74
Addlethorp,0.4,53.28,0.3177216,53.1953705,IV1680-003-24,http://www.openstreetmap.org/node/244452687,Addlethorpe,Lincolnshire,3.69,,95.24
Adlingfleet,-0.51,53.75,-0.7230426,53.6791574,IV1680-003-27,http://www.openstreetmap.org/node/59841421,Adlingfleet,"Yorkshire West Riding",1.5,,100
Adlington,-1.98,53.41,-2.1309128,53.3195057,IV1680-003-28,http://www.openstreetmap.org/node/1494859014,Adlington,Cheshire,2.71,,100
Admaston,-2.48,52.76,-2.5439397,52.7138704,IV1680-003-30,http://www.openstreetmap.org/node/448868276,Admaston,Shropshire,0.96,,100
Admaston,-1.85,52.88,-1.9262551,52.8083007,IV1680-003-31,http://www.openstreetmap.org/node/863289539,Admaston,Staffordshire,2.61,,100
Adstock,-0.85,51.98,-0.9289244,51.9656154,IV1680-003-39,http://www.openstreetmap.org/node/847770619,Adstock,Buckinghamshire,1.83,,100
Adston,-1.05,52.21,-1.1290784,52.1583694,IV1680-003-40,http://www.openstreetmap.org/node/33594718,Adstone,Northamptonshire,1.4,,92.31
Adwel,-0.86,51.7,-0.9929152,51.6915702,IV1680-003-43,http://www.openstreetmap.org/node/29357855,Adwell,Oxfordshire,1.82,,90.91
Affordby,-0.83,52.83,-0.9541789,52.7644508,IV1680-003-46,http://www.openstreetmap.org/node/1083537669,Asfordby,Leicestershire,1.4,,87.5
Agborough,-2.13,52.41,-2.2444235,52.378042,IV1680-003-50,http://www.openstreetmap.org/node/702937116,Aggborough,Worcestershire,2.65,,94.74
Agden,-2.28,53.5,-2.429804,53.3772617,IV1680-003-53,http://www.openstreetmap.org/node/4276198708,Agden,Cheshire,6.38,,100
Ageston,-1.16,50.65,-1.1627055,50.6721932,IV1680-003-54,http://www.openstreetmap.org/node/339131282,Adgestone,Hampshire,0.63,,87.5
Ainstable,-2.28,54.91,-2.7310746,54.8089542,IV1680-004-03,http://www.openstreetmap.org/node/243065450,Ainstable,Cumberland,2.93,,100
Aislaby,-0.98,54.55,-1.376268,54.5053123,IV1680-004-04,http://www.openstreetmap.org/node/5476489727,Aislaby,Durham,4.55,,100
Akenham,1.18,52.2,1.1340373,52.0966985,IV1680-004-08,http://www.openstreetmap.org/node/1770240999,Akenham,Suffolk,0.47,,100
Aketon,-1.15,53.76,-1.3752926,53.6919462,IV1680-004-09,http://www.openstreetmap.org/node/29804074,Ackton,"Yorkshire West Riding",2.2,,83.33
Alborn,-0.18,50.98,-0.2004246,50.9347753,IV1680-004-19,http://www.openstreetmap.org/node/704002392,Albourne,Sussex,1.79,,85.71
Alborough,1.2,52.95,1.2433616,52.8611035,IV1680-004-21,http://www.openstreetmap.org/node/282017084,Aldborough,Norfolk,1.61,,94.74
Albrighton,-2.23,52.68,-2.27814,52.6353685,IV1680-004-24,http://www.openstreetmap.org/node/95056021,Albrighton,Shropshire,0.88,,100
Albrighton,-2.71,52.81,-2.7462999,52.7590249,IV1680-004-25,http://www.openstreetmap.org/node/611862867,Albrighton,Shropshire,2.11,,100
Albury,-0.38,51.21,-0.498784,51.2197427,IV1680-004-28,http://www.openstreetmap.org/node/213424039,Albury,Surrey,0.57,,100
Alcomb,-3.53,51.2,-3.4684829,51.197714,IV1680-004-34,http://www.openstreetmap.org/node/1336841047,Alcombe,Somerset,1.63,,92.31
Aldborough,0.05,53.91,-0.1142214,53.827699,IV1680-004-37,http://www.openstreetmap.org/node/102814475,Aldbrough,"Yorkshire East Riding",0.69,,94.74
Aldbury,-0.51,51.83,-0.6015429,51.8022069,IV1680-004-40,http://www.openstreetmap.org/node/259611776,Aldbury,Hertfordshire,0.86,,100
Aldbury,0.11,51.93,0.0753295,51.8937529,IV1680-004-41,http://www.openstreetmap.org/node/489881777,"Albury End",Hertfordshire,0.39,,70.59
Aldby,1.6,52.66,1.6068817,52.4843038,IV1680-004-44,http://www.openstreetmap.org/node/1409499987,Aldeby,Norfolk,1.35,,90.91
Aldenham,-0.28,51.71,-0.3520014,51.6735426,IV1680-004-46,http://www.openstreetmap.org/node/599939358,Aldenham,Hertfordshire,2.2,,100
Alderbury,-1.66,51.08,-1.7395465,51.0456497,IV1680-004-49,http://www.openstreetmap.org/node/1579438293,Alderbury,Wiltshire,2.71,,100
Alderford,1.2,52.81,1.1431065,52.7254052,IV1680-004-50,http://www.openstreetmap.org/node/1426448761,Alderford,Norfolk,4.55,,100
Alderkirk,0.03,52.95,-0.0795578,52.8997182,IV1680-004-52,http://www.openstreetmap.org/node/244452644,Algarkirk,Lincolnshire,1,,77.78
Alderley,-2.08,53.38,-2.2375778,53.3058355,IV1680-004-53,http://www.openstreetmap.org/node/130151811,"Alderley Edge",Cheshire,1.54,,76.19
Alderley,-2.35,51.65,-2.3350879,51.61652,IV1680-004-54,http://www.openstreetmap.org/node/26950916,Alderley,Gloucestershire,0.31,,100
Aldermarston,-1.06,51.43,-1.1518107,51.38267,IV1680-004-58,http://www.openstreetmap.org/node/253868791,Aldermaston,Berkshire,0.77,,95.65
Aldersey,-2.73,53.2,-2.8061247,53.1064598,IV1680-005-03,http://www.openstreetmap.org/node/20613021,"Aldersey Green",Cheshire,1.63,,72.73
Aldershot,-0.66,51.26,-0.7630148,51.2494169,IV1680-005-04,http://www.openstreetmap.org/node/1688815997,Aldershot,Hampshire,0.59,,100
Alderton,1.46,52.13,1.4162838,52.0244212,IV1680-005-09,http://www.openstreetmap.org/node/96542915,Alderton,Suffolk,2.95,,100
Alderton,-2.21,51.56,-2.2328196,51.5439288,IV1680-005-10,http://www.openstreetmap.org/node/253705300,Alderton,Wiltshire,0.99,,100
Alderwas,-1.71,52.8,-1.7494608,52.7322867,IV1680-005-11,http://www.openstreetmap.org/node/20941451,Alrewas,Staffordshire,1.32,,80
Alderwashley,-1.4,53.15,-1.5160894,53.0763696,IV1680-005-12,http://www.openstreetmap.org/node/3482296961,Alderwasley,Derbyshire,0.99,,95.65
Aldford,-2.76,53.23,-2.8704239,53.1279368,IV1680-005-14,http://www.openstreetmap.org/node/12943938,Aldford,Cheshire,0.68,,100
Aldfriston,0.16,50.81,0.156021,50.8084358,IV1680-005-15,http://www.openstreetmap.org/node/1661606991,Alfriston,Sussex,1.2,,94.74
Aldham,0.76,51.96,0.7852841,51.8978994,IV1680-005-16,http://www.openstreetmap.org/node/288531266,Aldham,Essex,3.5,,100
Aldham,0.93,52.15,0.9717538,52.0632432,IV1680-005-17,http://www.openstreetmap.org/node/3378232829,Aldham,Suffolk,0.81,,100
Aldingborn,-0.68,50.86,-0.6891504,50.841594,IV1680-005-18,http://www.openstreetmap.org/node/29382469,Aldingbourne,Sussex,5.85,,90.91
Aldingham,-2.9,54.25,-3.0993558,54.1300292,IV1680-005-19,http://www.openstreetmap.org/node/29672587,Aldingham,Lancashire,3.56,,100
Aldington,0.33,51.33,0.5000993,51.2878034,IV1680-005-20,http://www.openstreetmap.org/node/364921762,Allington,Kent,2.4,,88.89
Aldington,-1.76,52.06,-1.9083507,52.0956488,IV1680-005-21,http://www.openstreetmap.org/node/494016161,Aldington,Worcestershire,1.47,,100
Aldridg,-1.88,52.65,-1.9241987,52.6018672,IV1680-005-23,http://www.openstreetmap.org/node/27307143,Aldridge,Staffordshire,1.24,,93.33
Aldringham,1.66,52.33,1.5785584,52.1938781,IV1680-005-24,http://www.openstreetmap.org/node/54080039,Aldringham,Suffolk,4.52,,100
Aldrington,-0.16,50.88,-0.1863525,50.8349558,IV1680-005-26,http://www.openstreetmap.org/node/1342552297,Aldrington,Sussex,1.79,,100
Aldwark,-1.53,53.2,-1.6599571,53.1131333,IV1680-005-27,http://www.openstreetmap.org/node/29357104,Aldwark,Derbyshire,2.81,,100
Aldwark,-1.01,54.11,-1.289405,54.0667965,IV1680-005-28,http://www.openstreetmap.org/node/412128520,Aldwark,"Yorkshire North Riding",4.43,,100
Aldworth,-1.08,51.53,-1.2004347,51.511926,IV1680-005-29,http://www.openstreetmap.org/node/1699360011,Aldworth,Berkshire,1.77,,100
Aleby,0.25,53.36,0.1538638,53.2697184,IV1680-005-31,http://www.openstreetmap.org/node/2654215480,Ailby,Lincolnshire,1.17,,80
Alesbear,-3.45,50.76,-3.3628433,50.720377,IV1680-005-36,http://www.openstreetmap.org/node/7237179454,Aylesbeare,Devon,3.65,,88.89
Alesby,-0.08,53.6,-0.1831318,53.5516204,IV1680-005-38,http://www.openstreetmap.org/node/89038688,Aylesby,Lincolnshire,1.4,,92.31
ALESHAM,1.25,52.9,1.2511895,52.7950031,IV1680-005-39,http://www.openstreetmap.org/node/29861213,Aylsham,Norfolk,1.04,,85.71
Alesworth,-0.23,52.55,-0.3497949,52.5764037,IV1680-005-41,http://www.openstreetmap.org/node/3021264554,Ailsworth,Northamptonshire,2.6,,88.89
Alesworth,-1.08,53.03,-1.2842695,52.992029,IV1680-005-42,http://www.openstreetmap.org/node/841848970,Awsworth,Nottinghamshire,2.95,,82.35
Alexton,-0.73,52.66,-0.795245,52.5955507,IV1680-005-44,http://www.openstreetmap.org/node/253549617,Allexton,Leicestershire,1.39,,93.33
Alford,-2.61,51.11,-2.5628213,51.0883147,IV1680-005-47,http://www.openstreetmap.org/node/29674465,Alford,Somerset,0.6,,100
ALFRETON,-1.23,53.16,-1.3900241,53.0972537,IV1680-005-49,http://www.openstreetmap.org/node/298240101,Alfreton,Derbyshire,0.72,,100
Alham,-2.11,53.85,-2.3530292,53.7924398,IV1680-005-50,http://www.openstreetmap.org/node/30093431,Altham,Lancashire,6.1,,90.91
Alhampton,-2.65,51.15,-2.5329698,51.1114486,IV1680-005-51,http://www.openstreetmap.org/node/315166,Alhampton,Somerset,4.41,,100
Alkmanton,-1.58,53.03,-1.7230337,52.9436392,IV1680-005-57,http://www.openstreetmap.org/node/259662701,Alkmonton,Derbyshire,1.68,,88.89
Alkynton,-2.65,53.01,-2.6969395,52.9491539,IV1680-006-01,http://www.openstreetmap.org/node/336581206,Alkington,Shropshire,0.88,,82.35
Allchurch,-1.8,52.36,-1.9579114,52.3507123,IV1680-006-05,http://www.openstreetmap.org/node/292936046,Alvechurch,Worcestershire,3.06,,84.21
Allensmore,-2.73,52.05,-2.78011,52.0193652,IV1680-006-06,http://www.openstreetmap.org/node/604002645,Allensmore,Herefordshire,1.73,,100
Allercar,-1.21,53.08,-1.3368586,53.0251319,IV1680-006-07,http://www.openstreetmap.org/node/1268268895,Aldercar,Derbyshire,1.63,,87.5
Allerford,-3.56,51.21,-3.570013,51.2114482,IV1680-006-09,http://www.openstreetmap.org/node/5241826877,Allerford,Somerset,6.95,,100
Allerthorp,-0.6,53.98,-0.8082173,53.916031,IV1680-006-10,http://www.openstreetmap.org/node/102820968,Allerthorpe,"Yorkshire East Riding",2.46,,95.24
Allerton,-1.6,53.91,-1.8205873,53.8050833,IV1680-006-16,http://www.openstreetmap.org/node/474393194,Allerton,"Yorkshire West Riding",2.02,,100
Allestry,-1.36,53.05,-1.496833,52.9447221,IV1680-006-21,http://www.openstreetmap.org/node/1617177786,Allestree,Derbyshire,7.16,,82.35
Allhallows,0.61,51.48,0.6446846,51.4677048,IV1680-006-24,http://www.openstreetmap.org/node/27301112,Allhallows,Kent,1.35,,100
Allington,-2.85,50.8,-2.7626153,50.73641,IV1680-006-26,http://www.openstreetmap.org/node/3874940912,Allington,Dorset,2.94,,100
Allington,0.9,51.05,0.9430295,51.0922145,IV1680-006-29,http://www.openstreetmap.org/node/26882745,Aldington,Kent,1.49,,88.89
Allington,-0.63,53,-0.7242715,52.9529688,IV1680-006-30,http://www.openstreetmap.org/node/31825238,Allington,Lincolnshire,2.36,,100
Allington,-1.65,51.2,-1.7089857,51.1537712,IV1680-006-32,http://www.openstreetmap.org/node/3307985161,Allington,Wiltshire,0.68,,100
Allison,-2.51,51.76,-2.526673,51.7387562,IV1680-006-38,http://www.openstreetmap.org/node/571719629,Allaston,Gloucestershire,1.35,,80
Allonby,-3.06,54.88,-3.4285665,54.7729585,IV1680-006-40,http://www.openstreetmap.org/node/5685732241,Allonby,Cumberland,1.5,,100
Allostock,-2.21,53.35,-2.3835955,53.2371923,IV1680-006-41,http://www.openstreetmap.org/node/262336611,Allostock,Cheshire,2.92,,100
Almanington,-0.88,50.76,-0.8292458,50.7726851,IV1680-006-45,http://www.openstreetmap.org/node/3416823374,Almodington,Sussex,2.58,,81.82
Almerley,-2.91,52.16,-2.9765259,52.1582646,IV1680-006-49,http://www.openstreetmap.org/node/29272315,Almeley,Herefordshire,1.41,,93.33
Almondsbury,-2.66,51.51,-2.5729128,51.5538504,IV1680-006-53,http://www.openstreetmap.org/node/1189195644,Almondsbury,Gloucestershire,0.55,,100
Alne,-0.96,54.13,-1.2428111,54.0818256,IV1680-006-56,http://www.openstreetmap.org/node/322600512,Alne,"Yorkshire North Riding",4.44,,100
Alperton,-0.25,51.6,-0.2979241,51.5377679,IV1680-007-05,http://www.openstreetmap.org/node/3206941112,Alperton,Middlesex,5.35,,100
Alpheton,0.73,52.18,0.7469588,52.1239577,IV1680-007-07,http://www.openstreetmap.org/node/3373842389,Alpheton,Suffolk,2.16,,100
Alphington,-3.63,50.73,-3.5356744,50.7002282,IV1680-007-08,http://www.openstreetmap.org/node/21762647,Alphington,Devon,2.91,,100
Alport,-1.5,53.23,-1.6711396,53.1780949,IV1680-007-10,http://www.openstreetmap.org/node/29292379,Alport,Derbyshire,1.58,,100
Alpram,-2.53,53.2,-2.6188105,53.1309365,IV1680-007-11,http://www.openstreetmap.org/node/31606107,Alpraham,Cheshire,2.18,,85.71
Alresford,1.01,51.93,1.0023071,51.8519359,IV1680-007-12,http://www.openstreetmap.org/node/26579361,Alresford,Essex,0.96,,100
ALRESFORD,-1.08,51.13,-1.1629772,51.0895586,IV1680-007-13,http://www.openstreetmap.org/node/1688829001,"New Alresford",Hampshire,0.85,,81.82
Alsager,-2.21,53.18,-2.3046307,53.0960614,IV1680-007-16,http://www.openstreetmap.org/node/21183238,Alsager,Cheshire,0.27,,100
Alscot,-2.35,52.58,-2.3880697,52.5639793,IV1680-007-17,http://www.openstreetmap.org/node/354852599,Allscott,Shropshire,1.36,,85.71
Alsley,-1.46,52.51,-1.5635177,52.4237382,IV1680-007-19,http://www.openstreetmap.org/node/2675120416,Allesley,Warwickshire,0.17,,85.71
Alston,-1.95,51.88,-2.0961831,51.9043293,IV1680-007-22,http://www.openstreetmap.org/node/334390553,Alstone,Gloucestershire,1.25,,92.31
Alston,-2.43,53.88,-2.5958412,53.8003063,IV1680-007-23,http://www.openstreetmap.org/node/415993949,"Alston Hall",Lancashire,4.51,,70.59
Alternon,-4.66,50.73,-4.5117408,50.6034015,IV1680-007-30,http://www.openstreetmap.org/node/1620749553,Altarnun,Cornwall,4.3,,75
Althorn,0.83,51.7,0.7629051,51.6569304,IV1680-007-32,http://www.openstreetmap.org/node/29670479,Althorne,Essex,2.09,,93.33
Althorp,0.16,53.38,0.0996031,53.3062696,IV1680-007-34,http://www.openstreetmap.org/node/31509935,Authorpe,Lincolnshire,1.26,,80
Althorp,-0.91,52.35,-0.9839502,52.2823152,IV1680-007-36,http://www.openstreetmap.org/node/25717162,Althorp,Northamptonshire,1.44,,100
Althorp,-0.95,52.18,-1.0506937,52.112451,IV1680-007-37,http://www.openstreetmap.org/node/16662564,Abthorpe,Northamptonshire,4.15,,80
Altofts,-1.16,53.78,-1.43112,53.7086,IV1680-007-40,http://www.openstreetmap.org/node/331205,Altofts,"Yorkshire West Riding",0.63,,100
Alton,-1.31,53.21,-1.4591723,53.173594,IV1680-007-41,http://www.openstreetmap.org/node/29389170,Alton,Derbyshire,2.16,,100
ALTON,-0.9,51.18,-0.9757677,51.1489036,IV1680-007-43,http://www.openstreetmap.org/node/17067290,Alton,Hampshire,0.54,,100
Alton,-1.78,53.05,-1.8935028,52.9768222,IV1680-007-44,http://www.openstreetmap.org/node/369026169,Alton,Staffordshire,1.94,,100
ALTRINCHAM,-2.18,53.48,-2.3525463,53.3839662,IV1680-007-54,http://www.openstreetmap.org/node/27329925,Altrincham,Cheshire,0.61,,100
Alvandeley,-2.6,53.38,-2.7545733,53.2617626,IV1680-007-55,http://www.openstreetmap.org/node/16703813,Alvanley,Cheshire,1.79,,88.89
Alveley,0.28,51.51,0.2561792,51.5001066,IV1680-007-57,http://www.openstreetmap.org/node/26655025,Aveley,Essex,0.43,,92.31
Alverstock,-1.15,50.83,-1.1498282,50.78604,IV1680-008-01,http://www.openstreetmap.org/node/325238857,Alverstoke,Hampshire,0.06,,90
Alverston,-1.93,51.08,-2.033909,51.0101777,IV1680-008-03,http://www.openstreetmap.org/node/1120496589,Alvediston,Wiltshire,6.68,,84.21
Alverton,-0.68,53.05,-0.8206465,52.9718664,IV1680-008-04,http://www.openstreetmap.org/node/371229574,Alverton,Nottinghamshire,5.27,,100
Alvescot,-1.55,51.75,-1.6078407,51.7385834,IV1680-008-05,http://www.openstreetmap.org/node/289708182,Alvescot,Oxfordshire,2.95,,100
Alveston,-1.31,52.98,-1.4512822,52.8879796,IV1680-008-06,http://www.openstreetmap.org/node/395442786,Allenton,Derbyshire,0.88,,75
Alveston,-2.61,51.61,-2.5320966,51.5895313,IV1680-008-07,http://www.openstreetmap.org/node/4378187053,Alveston,Gloucestershire,3.52,,100
Alvingham,0.11,53.46,0.048733,53.4010513,IV1680-008-08,http://www.openstreetmap.org/node/29282847,Alvingham,Lincolnshire,1.23,,100
Alvington,-2.56,51.73,-2.5768962,51.7047863,IV1680-008-09,http://www.openstreetmap.org/node/322919310,Alvington,Gloucestershire,1.93,,100
Alwarby,-3.01,54.86,-3.4165399,54.7424638,IV1680-008-11,http://www.openstreetmap.org/node/48977496,Allerby,Cumberland,4.95,,71.43
Alweston,-2.53,50.96,-2.4784918,50.926617,IV1680-008-12,http://www.openstreetmap.org/node/435166293,Alweston,Dorset,4.06,,100
Alwington,-4.3,51.08,-4.2742183,50.9861999,IV1680-008-13,http://www.openstreetmap.org/node/2479401970,Alwington,Devon,7.75,,100
Alwoodley,-1.26,53.91,-1.5261726,53.8624581,IV1680-008-14,http://www.openstreetmap.org/node/314716548,"Alwoodley Gates","Yorkshire West Riding",6.88,,75
Ambaston,-1.26,52.95,-1.3645391,52.8900868,IV1680-008-16,http://www.openstreetmap.org/node/618792554,Ambaston,Derbyshire,2,,100
Amberley,-0.48,50.96,-0.5346514,50.908911,IV1680-008-18,http://www.openstreetmap.org/node/29542906,Amberley,Sussex,1.04,,100
Amblecot,-1.98,52.5,-2.1507226,52.4637321,IV1680-008-20,http://www.openstreetmap.org/node/137482658,Amblecote,Staffordshire,0.61,,94.12
AMBLESIDE,-2.66,54.58,-2.9630528,54.431954,IV1680-008-21,http://www.openstreetmap.org/node/27160069,Ambleside,Westmorland,0.4,,100
Ambleston,-4.73,52.01,-4.9066764,51.8949817,IV1680-008-22,http://www.openstreetmap.org/node/3718432,Ambleston,Pembrokeshire,1.81,,100
AMBRESBURY,-1.73,51.21,-1.775107,51.1726704,IV1680-008-23,http://www.openstreetmap.org/node/21496954,Amesbury,Wiltshire,0.61,,88.89
Amcotes,-0.53,53.68,-0.7049348,53.6170368,IV1680-008-26,http://www.openstreetmap.org/node/243382915,Amcotts,Lincolnshire,1.25,,85.71
Amersden,-1.01,51.88,-1.1243062,51.871261,IV1680-008-28,http://www.openstreetmap.org/node/26351812,Ambrosden,Oxfordshire,1.83,,82.35
Amington,-1.63,52.66,-1.6541524,52.6362796,IV1680-008-35,http://www.openstreetmap.org/node/3911534957,Amington,Warwickshire,2.8,,100
Amlwoch,-4.2,53.63,-4.342649,53.4090317,IV1680-008-36,http://www.openstreetmap.org/node/32881647,Amlwch,Anglesey,0.98,,92.31
Ampleford,-0.86,54.23,-1.1063053,54.2003252,IV1680-008-39,http://www.openstreetmap.org/node/29073002,Ampleforth,"Yorkshire North Riding",1.57,,84.21
Amport,-1.4,51.23,-1.5714068,51.1976767,IV1680-008-45,http://www.openstreetmap.org/node/492045880,Amport,Hampshire,6.51,,100
