"match (certainty/distance)",lng-IV,lng-CAMPOP,lat-IV,lat-CAMPOP
"ALFRETON -> ALFRETON, DERBYSHIRE (100 / 7.9mi)",53.16,-1.23,53.0973013241182,-1.3904774514575
"ALLONBY -> ALLONBY, CUMBERLAND (100 / 16.7mi)",54.88,-3.06,54.7672790652407,-3.43086676170617
"ALMONDSBURY -> ALMONDSBURY, GLOUCESTERSHIRE (100 / 4.8mi)",51.51,-2.66,51.5542528836545,-2.57334621993523
"ALSAGER -> ALSAGER, CHESHIRE (100 / 6.9mi)",53.18,-2.21,53.096436180548,-2.30182924105792
"ALTOFTS -> ALTOFTS, YORKSHIRE WEST RIDING (100 / 12.2mi)",53.78,-1.16,53.7092085543434,-1.43295133074603
"ALTON -> ALTON, HAMPSHIRE (100 / 4mi)",51.18,-0.9,51.1486809753697,-0.977742791357035
"ALTRINCHAM -> ALTRINCHAM, CHESHIRE (100 / 9.4mi)",53.48,-2.18,53.3889991163566,-2.35041094402069
"AMBERLEY -> AMBERLEY, SUSSEX (100 / 4.4mi)",50.96,-0.48,50.9090578941569,-0.539392539269288
"AMBLESIDE -> AMBLESIDE, WESTMORLAND (100 / 15.9mi)",54.58,-2.66,54.4317799373,-2.96194928117761
"AMPTHILL -> AMPTHILL, BEDFORDSHIRE (100 / 3.3mi)",52.06,-0.43,52.0318934928283,-0.492894517746256
"ANDOVER -> ANDOVER, HAMPSHIRE (100 / 3.8mi)",51.23,-1.4,51.207905273248,-1.47929111191996
"ANSTEY -> ANSTEY, HERTFORDSHIRE (100 / 2.2mi)",52,0.08,51.9767471689842,0.043152114298153
"APPLEBY -> APPLEBY, WESTMORLAND (100 / 16.1mi)",54.68,-2.13,54.5772797990255,-2.49110037084611
"APPLEDORE -> APPLEDORE, KENT (100 / 2.4mi)",51,0.76,51.0293704840269,0.789616898441222
"APPLESHAW -> APPLESHAW, HAMPSHIRE (100 / 5.4mi)",51.28,-1.46,51.2395883658182,-1.56631626846248
"ARKESDEN -> ARKESDEN, ESSEX (100 / 0.7mi)",52,0.16,51.9900783977577,0.157320799510712
"ARLINGHAM -> ARLINGHAM, GLOUCESTERSHIRE (100 / 22mi)",51.51,-2.66,51.7938476442128,-2.4268944419026
"ARLINGTON -> ARLINGTON, SUSSEX (100 / 2.1mi)",50.83,0.15,50.8461578830157,0.190187269133548
"ARNESBY -> ARNESBY, LEICESTERSHIRE (100 / 7.1mi)",52.58,-0.95,52.5239283559531,-1.09177730350414
"ARNOLD -> ARNOLD, NOTTINGHAMSHIRE (100 / 7mi)",53.06,-0.98,53.0094362542061,-1.12683241752545
"ARRINGTON -> ARRINGTON, CAMBRIDGESHIRE (100 / 1.2mi)",52.15,-0.08,52.1351553379938,-0.065221711221483
"ARUNDEL -> ARUNDEL, SUSSEX (100 / 3.3mi)",50.9,-0.53,50.8549206321401,-0.555433525636536
"ASH -> ASH, SURREY (100 / 6.8mi)",51.3,-0.58,51.2491191301726,-0.715479767625572
"ASHBURY -> ASHBURY, BERKSHIRE (100 / 4.8mi)",51.58,-1.51,51.5625205174424,-1.61864418828125
"ASHBY DE LA ZOUCH -> ASHBY DE LA ZOUCH, LEICESTERSHIRE (100 / 5.2mi)",52.78,-1.36,52.7471403161228,-1.47121252725842
"ASHDON -> ASHDON, ESSEX (100 / 2.1mi)",52.08,0.3,52.0494171812061,0.304191541196684
"ASHFORD -> ASHFORD, KENT (100 / 3.4mi)",51.13,0.8,51.1492212983335,0.872409728346713
"ASHFORD -> ASHFORD, MIDDLESEX (100 / 6.5mi)",51.48,-0.33,51.4324392222199,-0.459036907883329
"ASHTON IN MAKERFIELD -> ASHTON IN MAKERFIELD, LANCASHIRE (100 / 8.6mi)",53.55,-2.46,53.4856516904471,-2.63882867457951
"ASTLEY -> ASTLEY, LANCASHIRE (100 / 7.8mi)",53.6,-2.36,53.5025529328316,-2.45367465582387
"ASTON CLINTON -> ASTON CLINTON, BUCKINGHAMSHIRE (100 / 2.9mi)",51.81,-0.66,51.7993003952713,-0.726207895333942
"ASWARDBY -> ASWARDBY, LINCOLNSHIRE (100 / 6.3mi)",53.28,0.16,53.2112535945775,0.059512507073921
"ATHERTON -> ATHERTON, LANCASHIRE (100 / 9.1mi)",53.6,-2.31,53.5239365922192,-2.49008957537639
"ATTLEBOROUGH -> ATTLEBOROUGH, NORFOLK (100 / 5.1mi)",52.58,1.08,52.5180803783925,1.01605490483425
"AUST -> AUST, GLOUCESTERSHIRE (100 / 2.5mi)",51.63,-2.65,51.5989395673508,-2.61870450496898
"AYLESFORD -> AYLESFORD, KENT (100 / 1mi)",51.31,0.46,51.3036290516304,0.480628105260688
"BAGSHOT -> BAGSHOT, SURREY (100 / 5.8mi)",51.38,-0.56,51.3622099384197,-0.691262542324987
"BAGWORTH -> BAGWORTH, LEICESTERSHIRE (100 / 5.7mi)",52.73,-1.25,52.6672278957437,-1.33692681038725
"BALA -> BALA, MERIONETHSHIRE (100 / 9.8mi)",53.01,-3.43,52.910494475848,-3.59840226599119
"BALDERTON -> BALDERTON, NOTTINGHAMSHIRE (100 / 7.6mi)",53.1,-0.61,53.0552931910749,-0.778023991460506
"BALDOCK -> BALDOCK, HERTFORDSHIRE (100 / 1mi)",52,-0.2,51.9883600163196,-0.187535696622117
"BALSHAM -> BALSHAM, CAMBRIDGESHIRE (100 / 3.4mi)",52.16,0.25,52.1332517237246,0.31855531077648
"BAMPTON -> BAMPTON, OXFORDSHIRE (100 / 5mi)",51.73,-1.43,51.7270550714965,-1.54616944045557
"BANBURY -> BANBURY, OXFORDSHIRE (100 / 3.6mi)",52.11,-1.3,52.0622114968656,-1.33540872749636
"BANGOR -> BANGOR, CARNARVONSHIRE (100 / 12.6mi)",53.38,-3.96,53.2263652524722,-4.12614145846679
"BARCOMBE -> BARCOMBE, SUSSEX (100 / 2.7mi)",50.95,0.01,50.9108162824191,0.01663184236229
"BARDNEY -> BARDNEY, LINCOLNSHIRE (100 / 6.2mi)",53.26,-0.2,53.2096128379875,-0.32534163052646
"BARFORD -> BARFORD, WARWICKSHIRE (100 / 9mi)",52.3,-1.41,52.2457089417304,-1.60252703334436
"BARKHAM -> BARKHAM, BERKSHIRE (100 / 3.1mi)",51.41,-0.81,51.3914863928328,-0.874627767785441
"BARKING -> BARKING, ESSEX (100 / 4mi)",51.56,0.16,51.5355378270387,0.07581746588969
"BARKWAY -> BARKWAY, HERTFORDSHIRE (100 / 1.6mi)",52.01,0.05,52.0018348984857,0.015315311353953
"BARLBOROUGH -> BARLBOROUGH, DERBYSHIRE (100 / 8.8mi)",53.35,-1.1,53.290284904103,-1.28733768081577
"BARLEY -> BARLEY, HERTFORDSHIRE (100 / 0.4mi)",52.03,0.05,52.0264830658697,0.041598846363358
"BARMING -> BARMING, KENT (100 / 1.4mi)",51.28,0.45,51.2632944348009,0.47024191490803
"BARMOUTH -> BARMOUTH, MERIONETHSHIRE (100 / 11mi)",52.85,-3.9,52.7199444650419,-4.05154854186396
"BARNES -> BARNES, SURREY (100 / 4.3mi)",51.5,-0.15,51.4750201267033,-0.241807378106765
"BARRY -> BARRY, GLAMORGANSHIRE (100 / 5.9mi)",51.48,-3.28,51.3944122673428,-3.28852204471481
"BARTLOW -> BARTLOW, CAMBRIDGESHIRE (100 / 2.4mi)",52.11,0.28,52.0823067756727,0.313184004332772
"BARTON -> BARTON, WESTMORLAND (100 / 16.4mi)",54.71,-2.41,54.6298362230659,-2.79534874596086
"BARTON UNDER NEEDWOOD -> BARTON UNDER NEEDWOOD, STAFFORDSHIRE (100 / 4.7mi)",52.83,-1.7,52.7641141342799,-1.72293805321082
"BARWELL -> BARWELL, LEICESTERSHIRE (100 / 6.5mi)",52.65,-1.28,52.5645632597423,-1.34670715029947
"BASINGSTOKE -> BASINGSTOKE, HAMPSHIRE (100 / 6.1mi)",51.3,-0.96,51.2631156511499,-1.08705398926098
"BASLOW -> BASLOW, DERBYSHIRE (100 / 8.4mi)",53.31,-1.45,53.2473685079873,-1.62426971981407
"BATHFORD -> BATHFORD, SOMERSET (100 / 4.6mi)",51.43,-2.4,51.398165005309,-2.30608972688064
"BAYDON -> BAYDON, WILTSHIRE (100 / 5mi)",51.55,-1.51,51.5008544270568,-1.59608174932514
"BAYTON -> BAYTON, WORCESTERSHIRE (100 / 3.6mi)",52.38,-2.38,52.3562056948539,-2.45478678177837
"BECKENHAM -> BECKENHAM, KENT (100 / 3.7mi)",51.45,0.03,51.4091615886257,-0.024688122575921
"BECKINGHAM -> BECKINGHAM, LINCOLNSHIRE (100 / 7.1mi)",53.13,-0.55,53.0743310011233,-0.694434071171006
"BECKINGTON -> BECKINGTON, SOMERSET (100 / 5.6mi)",51.33,-2.36,51.2635479365301,-2.28560812120693
"BECKLEY -> BECKLEY, OXFORDSHIRE (100 / 7mi)",51.83,-1.03,51.7972834092088,-1.18597425388274
"BECKLEY -> BECKLEY, SUSSEX (100 / 1.9mi)",50.96,0.6,50.9834648251563,0.623942821633681
"BEDFORD -> BEDFORD, BEDFORDSHIRE (100 / 3.1mi)",52.18,-0.46,52.1354751882616,-0.466528885779433
"BEDFORD -> BEDFORD, LANCASHIRE (100 / 30.6mi)",53.93,-2.36,53.4950553881169,-2.50739197137535
"BEDWORTH -> BEDWORTH, WARWICKSHIRE (100 / 9.2mi)",52.6,-1.38,52.4790381085259,-1.47243776401356
"BEIGHTON -> BEIGHTON, DERBYSHIRE (100 / 8.1mi)",53.38,-1.15,53.3452453933322,-1.33647255450545
"BELBROUGHTON -> BELBROUGHTON, WORCESTERSHIRE (100 / 6.9mi)",52.41,-1.96,52.389739223003,-2.12013839988483
"BELFORD -> BELFORD, NORTHUMBERLAND (100 / 23.4mi)",55.61,-1.23,55.5993207510428,-1.82943491757181
"BELTINGHAM -> BELTINGHAM, NORTHUMBERLAND (100 / 18.7mi)",55.05,-1.88,54.9698528472568,-2.33011830750013
"BELTON -> BELTON, LEICESTERSHIRE (100 / 4.9mi)",52.81,-1.23,52.78309420025,-1.33802102898812
"BELTON -> BELTON, LINCOLNSHIRE (100 / 9.6mi)",53.61,-0.61,53.5478548186088,-0.819879356195951
"BENENDEN -> BENENDEN, KENT (100 / 1.3mi)",51.06,0.55,51.0648965360599,0.579446842686894
"BENHALL -> BENHALL, SUFFOLK (100 / 10.2mi)",52.35,1.5,52.2039110135421,1.47014092214967
"BENINGTON -> BENINGTON, HERTFORDSHIRE (100 / 2.8mi)",51.93,-0.08,51.8956947668846,-0.116644099313052
"BENTHAM -> BENTHAM, YORKSHIRE WEST RIDING (100 / 12mi)",54.2,-2.25,54.1180280740352,-2.51017376127909
"BENTLEY -> BENTLEY, HAMPSHIRE (100 / 5.7mi)",51.25,-0.78,51.1960991913285,-0.879236710049939
"BERKELEY -> BERKELEY, GLOUCESTERSHIRE (100 / 3.4mi)",51.73,-2.41,51.6912766735499,-2.45864925863758
"BESWICK -> BESWICK, YORKSHIRE EAST RIDING (100 / 13mi)",54.01,-0.18,53.9194193257765,-0.459903690871803
"BETHERSDEN -> BETHERSDEN, KENT (100 / 2.3mi)",51.11,0.71,51.1291956390634,0.753965240575257
"BETLEY -> BETLEY, STAFFORDSHIRE (100 / 6mi)",53.06,-2.23,53.0337126043133,-2.36819265878246
"BEVERLEY -> BEVERLEY, YORKSHIRE EAST RIDING (100 / 9.5mi)",53.91,-0.23,53.8428795927406,-0.432237767765446
"BEVERSTON -> BEVERSTON, GLOUCESTERSHIRE (100 / 1.4mi)",51.66,-2.18,51.6447625871185,-2.20133666688508
"BEWDLEY -> BEWDLEY, WORCESTERSHIRE (100 / 5.1mi)",52.4,-2.2,52.3758643362928,-2.31504086764585
"BEXLEY -> BEXLEY, KENT (100 / 3.4mi)",51.48,0.2,51.4416725704511,0.150011470822447
"BICESTER -> BICESTER, OXFORDSHIRE (100 / 3.9mi)",51.9,-1.06,51.8967721876487,-1.15057056932344
"BIDDENDEN -> BIDDENDEN, KENT (100 / 1.4mi)",51.11,0.61,51.1151214400292,0.640493440805093
"BIDDULPH -> BIDDULPH, STAFFORDSHIRE (100 / 6.7mi)",53.18,-2.03,53.1282017266849,-2.16590493871044
"BILDESTON -> BILDESTON, SUFFOLK (100 / 5.4mi)",52.18,0.86,52.1077206309905,0.90818171358205
"BILLERICAY -> BILLERICAY, ESSEX (100 / 3mi)",51.66,0.46,51.6260524630363,0.418248473905837
"BILLESDON -> BILLESDON, LEICESTERSHIRE (100 / 6.2mi)",52.68,-0.83,52.6183003644253,-0.938865950162981
"BILLINGFORD -> BILLINGFORD, NORFOLK (100 / 9.3mi)",52.5,1.21,52.3667087082889,1.18323550717116
"BILSINGTON -> BILSINGTON, KENT (100 / 3.2mi)",51.03,0.88,51.0713602141759,0.913626894727504
"BILSTON -> BILSTON, STAFFORDSHIRE (100 / 4mi)",52.6,-2,52.5643050177912,-2.07639761597884
"BINFIELD -> BINFIELD, BERKSHIRE (100 / 4.5mi)",51.45,-0.68,51.4421355785975,-0.784893353657991
"BINGHAM -> BINGHAM, NOTTINGHAMSHIRE (100 / 66.1mi)",52,-0.8,52.952385502428,-0.952062895542472
"BINGLEY -> BINGLEY, YORKSHIRE WEST RIDING (100 / 12.7mi)",53.93,-1.56,53.8488906721982,-1.83958883502089
"BINHAM -> BINHAM, NORFOLK (100 / 6.6mi)",53.01,0.91,52.9170052954266,0.949073712698839
"BIRKIN -> BIRKIN, YORKSHIRE WEST RIDING (100 / 15.7mi)",53.8,-0.83,53.7324269296977,-1.19757949400217
"BIRMINGHAM -> BIRMINGHAM, WARWICKSHIRE (100 / 4.3mi)",52.5,-1.8,52.4767171600509,-1.89374405205188
"BISLEY -> BISLEY, GLOUCESTERSHIRE (100 / 3.4mi)",51.76,-2.06,51.7520207674342,-2.13960892316272
"BITTON -> BITTON, GLOUCESTERSHIRE (100 / 3.4mi)",51.46,-2.51,51.4221151796403,-2.45875550636705
"BLABY -> BLABY, LEICESTERSHIRE (100 / 6.6mi)",52.63,-1.03,52.5755497781769,-1.15992099668148
"BLACKWATER -> BLACKWATER, HAMPSHIRE (100 / 81.2mi)",51.35,-2.66,51.3309949947038,-0.778404454636447
"BLAKENEY -> BLAKENEY, GLOUCESTERSHIRE (100 / 2.4mi)",51.78,-2.43,51.7612787911354,-2.47656076665824
"BLAXHALL -> BLAXHALL, SUFFOLK (100 / 10.6mi)",52.31,1.5,52.1604515541897,1.44427711216472
"BLEDLOW -> BLEDLOW, BUCKINGHAMSHIRE (100 / 3.2mi)",51.71,-0.8,51.7129258566006,-0.874705742050297
"BLENDWORTH -> BLENDWORTH, HAMPSHIRE (100 / 5.3mi)",50.95,-0.88,50.917080472607,-0.989538124685365
"BLOCKLEY -> BLOCKLEY, WORCESTERSHIRE (100 / 5.7mi)",52,-1.63,52.0124608534489,-1.76154645819276
"BLOXHAM -> BLOXHAM, OXFORDSHIRE (100 / 3.5mi)",52.06,-1.33,52.0179074055281,-1.37464837997159
"BOCKING -> BOCKING, ESSEX (100 / 4.3mi)",51.95,0.55,51.8884705126977,0.557340578912701
"BODMIN -> BODMIN, CORNWALL (100 / 11.4mi)",50.61,-4.86,50.4712226047072,-4.72098184695663
"BOGNOR -> BOGNOR, SUSSEX (100 / 4.6mi)",50.85,-0.68,50.7830362831574,-0.674270496819504
"BOLLINGTON -> BOLLINGTON, CHESHIRE (100 / 7.1mi)",53.36,-1.96,53.2971424841756,-2.09638727468704
"BOLNEY -> BOLNEY, SUSSEX (100 / 2.8mi)",51.03,-0.2,50.9897722644169,-0.203456020096036
"BOLSOVER -> BOLSOVER, DERBYSHIRE (100 / 7.8mi)",53.26,-1.11,53.2293680783245,-1.29190247455056
"BOLTON -> BOLTON, LANCASHIRE (100 / 9mi)",53.66,-2.26,53.5782993928978,-2.42982901670025
"BOSTON -> BOSTON, LINCOLNSHIRE (100 / 7.1mi)",53.06,0.08,52.9781925457944,-0.023958206619833
"BOTLEY -> BOTLEY, HAMPSHIRE (100 / 140.7mi)",52.95,-1.25,50.9142405434307,-1.27364929030114
"BOURN -> BOURN, CAMBRIDGESHIRE (100 / 2.1mi)",52.2,-0.11,52.18969700222,-0.063938287465607
"BOX -> BOX, WILTSHIRE (100 / 2.3mi)",51.43,-2.3,51.4157436037536,-2.25076410695403
"BRADFIELD -> BRADFIELD, BERKSHIRE (100 / 5.7mi)",51.48,-1.01,51.449001831237,-1.13317954840699
"BRADFIELD -> BRADFIELD, ESSEX (100 / 5.4mi)",52.01,1.15,51.934222445995,1.11804664934424
"BRADING -> BRADING, HAMPSHIRE (100 / 1.6mi)",50.66,-1.15,50.6823536464345,-1.14268708562363
"BRADWELL -> BRADWELL, SUFFOLK (100 / 12.2mi)",52.75,1.66,52.5748791644674,1.69286945955721
"BRAMFORD -> BRAMFORD, SUFFOLK (100 / 5.9mi)",52.16,1.11,52.074249313817,1.10278284530117
"BRAMPTON -> BRAMPTON, CUMBERLAND (100 / 18.3mi)",55.03,-2.3,54.9422214190398,-2.7348950502043
"BRAMPTON -> BRAMPTON, HUNTINGDONSHIRE (100 / 0.9mi)",52.31,-0.23,52.3211217364769,-0.218957048025597
"BRANCASTER -> BRANCASTER, NORFOLK (100 / 5.5mi)",53.03,0.71,52.9631953899917,0.637592960677195
"BRANDON -> BRANDON, SUFFOLK (100 / 2.5mi)",52.46,0.68,52.4473466826758,0.62377000561727
"BRASTED -> BRASTED, KENT (100 / 1.7mi)",51.3,0.1,51.2764493922293,0.109526170155092
"BRAY -> BRAY, BERKSHIRE (100 / 4.4mi)",51.5,-0.6,51.5091014757983,-0.702102264475092
"BREDBURY -> BREDBURY, CHESHIRE (100 / 9.2mi)",53.5,-1.93,53.4204266983367,-2.11034411758934
"BREDGAR -> BREDGAR, KENT (100 / 2mi)",51.31,0.65,51.3109462441242,0.696167616612351
"BREEDON ON THE HILL -> BREEDON ON THE HILL, LEICESTERSHIRE (100 / 3.3mi)",52.83,-1.33,52.8061818911953,-1.39952033713711
"BRENCHLEY -> BRENCHLEY, KENT (100 / 0.7mi)",51.16,0.4,51.149984451195,0.400229418202577
"BREWOOD -> BREWOOD, STAFFORDSHIRE (100 / 4.8mi)",52.73,-2.1,52.6766789495925,-2.17379659471564
"BRIDGEND -> BRIDGEND, GLAMORGANSHIRE (100 / 6.4mi)",51.6,-3.6,51.5076607086207,-3.57962436715811
"BRIDGNORTH -> BRIDGNORTH, SHROPSHIRE (100 / 2mi)",52.55,-2.38,52.5345369562952,-2.41994940250952
"BRIDGWATER -> BRIDGWATER, SOMERSET (100 / 3.6mi)",51.15,-3.08,51.1283324389929,-3.0041738528364
"BRIDPORT -> BRIDPORT, DORSET (100 / 6.9mi)",50.81,-2.86,50.7335594807732,-2.75823400668869
"BRIERLEY HILL -> BRIERLEY HILL, STAFFORDSHIRE (100 / 5.4mi)",52.55,-2.06,52.4815510682658,-2.12073625117787
"BRIGHTLING -> BRIGHTLING, SUSSEX (100 / 3.9mi)",50.95,0.31,50.9638595426008,0.396115381490763
"BRIGHTWELL -> BRIGHTWELL, BERKSHIRE (100 / 7.2mi)",51.61,-1,51.6131095215378,-1.16658307713697
"BRILL -> BRILL, BUCKINGHAMSHIRE (100 / 5.1mi)",51.81,-0.93,51.8194736049252,-1.04925378408901
"BRIMINGTON -> BRIMINGTON, DERBYSHIRE (100 / 7.4mi)",53.3,-1.23,53.2573184787583,-1.39428219937027
"BRINGHURST -> BRINGHURST, LEICESTERSHIRE (100 / 4.6mi)",52.58,-0.71,52.5207629698877,-0.761552219323195
"BRINKLEY -> BRINKLEY, CAMBRIDGESHIRE (100 / 2.6mi)",52.2,0.35,52.1677038831706,0.381210568536742
"BRINSOP -> BRINSOP, HEREFORDSHIRE (100 / 1.7mi)",52.11,-2.78,52.0986233686966,-2.81552980926677
"BRINTON -> BRINTON, NORFOLK (100 / 84.6mi)",52.96,-1,52.88035695393,1.02743615647992
"BRITON FERRY -> BRITON FERRY, GLAMORGANSHIRE (100 / 6.8mi)",51.73,-3.81,51.6326721451691,-3.82807634870221
"BROADWATER -> BROADWATER, SUSSEX (100 / 5.1mi)",50.9,-0.35,50.8277451426692,-0.373320391254463
"BROCKLESBY -> BROCKLESBY, LINCOLNSHIRE (100 / 7.4mi)",53.66,-0.15,53.58603925862,-0.2799389971172
"BROMLEY -> BROMLEY, KENT (100 / 2.3mi)",51.43,0.05,51.4055031827427,0.015160144536546
"BROMSGROVE -> BROMSGROVE, WORCESTERSHIRE (100 / 5.9mi)",52.36,-1.93,52.3336455262578,-2.06218786713885
"BROMYARD -> BROMYARD, HEREFORDSHIRE (100 / 4.3mi)",52.21,-2.41,52.1890971689868,-2.50467957068304
"BROOK STREET -> BROOK STREET, ESSEX (100 / 3.3mi)",51.66,0.28,51.6124336759209,0.275792419911081
"BROSELEY -> BROSELEY, SHROPSHIRE (100 / 3.4mi)",52.65,-2.43,52.6137360509845,-2.48405196149979
"BROTHERTON -> BROTHERTON, YORKSHIRE WEST RIDING (100 / 12.2mi)",53.8,-1,53.7257610886777,-1.27080285063947
"BROTTON -> BROTTON, YORKSHIRE NORTH RIDING (100 / 12.1mi)",54.56,-0.63,54.569031122772,-0.931743480341773
"BROUGH -> BROUGH, WESTMORLAND (100 / 15.3mi)",54.63,-1.98,54.5261819433167,-2.31740386026423
"BROUGHTON -> BROUGHTON, BUCKINGHAMSHIRE (100 / 4.3mi)",52.11,-0.66,52.0521818979624,-0.697915932882739
"BROUGHTON -> BROUGHTON, HAMPSHIRE (100 / 2.8mi)",51.13,-1.53,51.0947019895527,-1.56020263263968
"BROUGHTON -> BROUGHTON, LINCOLNSHIRE (100 / 9.1mi)",53.65,-0.38,53.5654839161311,-0.551421143243781
"BRUNANT -> BRUNANT, CARDIGANSHIRE (100 / 8.6mi)",52.45,-3.65,52.3956189861921,-3.83486952300061
"BRUTON -> BRUTON, SOMERSET (100 / 3.5mi)",51.16,-2.48,51.1116225484511,-2.45560618042398
"BUCKINGHAM -> BUCKINGHAM, BUCKINGHAMSHIRE (100 / 2.5mi)",52.01,-0.93,52.0003507058252,-0.987131483405915
"BUCKLAND -> BUCKLAND, HERTFORDSHIRE (100 / 2.4mi)",52,0.03,51.9865747257295,-0.02317664815928
"BUCKLAND -> BUCKLAND, KENT (100 / 3.2mi)",51.1,1.25,51.1374107018365,1.29345084436324
"BUCKLAND -> BUCKLAND, SURREY (100 / 2.5mi)",51.26,-0.2,51.24356909545,-0.251003908453202
"BUDBY -> BUDBY, NOTTINGHAMSHIRE (100 / 7.3mi)",53.26,-0.91,53.2242150243592,-1.07533465436344
"BULMER -> BULMER, ESSEX (100 / 4.3mi)",52.08,0.63,52.0287617433888,0.685854071202912
"BULWICK -> BULWICK, NORTHAMPTONSHIRE (100 / 3.5mi)",52.55,-0.5,52.537644620114,-0.58184341617377
"BUNBURY -> BUNBURY, CHESHIRE (100 / 6.3mi)",53.2,-2.58,53.1182351831546,-2.64525090922202
"BUNGAY -> BUNGAY, SUFFOLK (100 / 10mi)",52.6,1.45,52.4560871053572,1.43758169478955
"BUNNY -> BUNNY, NOTTINGHAMSHIRE (100 / 7.4mi)",52.93,-1,52.8610028601292,-1.13683784626888
"BUNTINGFORD -> BUNTINGFORD, HERTFORDSHIRE (100 / 0.8mi)",51.95,0,51.9462034536767,-0.018680546362276
"BURFORD -> BURFORD, OXFORDSHIRE (100 / 2.5mi)",51.8,-1.58,51.8073898431792,-1.63676883937767
"BURNSALL -> BURNSALL, YORKSHIRE WEST RIDING (100 / 12.5mi)",54.11,-1.66,54.0496032347356,-1.95175469981896
"BURSLEM -> BURSLEM, STAFFORDSHIRE (100 / 6.9mi)",53.1,-2.06,53.0454455862394,-2.1982774018688
"BURTON -> BURTON, SUSSEX (100 / 3.5mi)",50.98,-0.56,50.9500046744655,-0.62543693247742
"BURTON OVERY -> BURTON OVERY, LEICESTERSHIRE (100 / 6.3mi)",52.63,-0.88,52.5760352165672,-1.00105127289505
"BURWASH -> BURWASH, SUSSEX (100 / 3.4mi)",51,0.31,50.9976827282861,0.388745597806655
"BURY -> BURY, LANCASHIRE (100 / 7.6mi)",53.66,-2.15,53.5938068870995,-2.29777870260467
"BUSHLEY -> BUSHLEY, WORCESTERSHIRE (100 / 4.4mi)",52,-2.08,52.0075581275036,-2.18333607652216
"BUXHALL -> BUXHALL, SUFFOLK (100 / 3.6mi)",52.23,0.9,52.1807633582016,0.9284053640261
"BUXTON -> BUXTON, DERBYSHIRE (100 / 10mi)",53.35,-1.73,53.256197660365,-1.91447052572071
"BYFIELD -> BYFIELD, NORTHAMPTONSHIRE (100 / 5.5mi)",52.23,-1.15,52.1728381092082,-1.24208076445853
"CAERPHILLY -> CAERPHILLY, GLAMORGANSHIRE (100 / 5.9mi)",51.66,-3.23,51.5748753098441,-3.21780119537376
"CALDBECK -> CALDBECK, CUMBERLAND (100 / 9mi)",54.86,-2.93,54.7494856966604,-3.04943591684594
"CALNE -> CALNE, WILTSHIRE (100 / 1.4mi)",51.45,-1.98,51.4386391976797,-2.00561406797043
"CALVERLEY -> CALVERLEY, YORKSHIRE WEST RIDING (100 / 12.9mi)",53.88,-1.38,53.8304116953438,-1.68494588882312
"CAMELFORD -> CAMELFORD, CORNWALL (100 / 10.5mi)",50.76,-4.78,50.6225544311649,-4.67936575982515
"CAMPSALL -> CAMPSALL, YORKSHIRE WEST RIDING (100 / 12.7mi)",53.7,-0.9,53.6195825435256,-1.17923299574933
